feature,fake_mean,real_mean,cohens_d,ks_stat,ks_pval,t_stat,t_pval,abs_cohens_d,importance,combined_score
post_ratio,0.9535315985130112,0.008831763807584627,10.988286078587823,0.9715738118644351,0.0,284.31638797331925,0.0,10.988286078587823,0.4039936861006411,1.0
num_real,0.3395291201982652,12.996182234665309,-0.6112884493410545,0.9157372986369269,2.37e-322,-15.816781842239825,5.958674492168842e-55,0.6112884493410545,0.27323331595643413,0.3659807888483449
num_fake,1.143742255266419,0.07660982438279461,2.5778088857844748,0.9493509798931026,8.4e-323,66.699511222638,0.0,2.5778088857844748,0.19733599990377673,0.361529581702321
num_post,1.483271375464684,13.072792059048103,-0.5589975588404273,0.2566724161802603,2.630557959249226e-39,-14.46378129351936,1.9800757455320495e-46,0.5589975588404273,0.024008120907488675,0.055149552165646876
like_ratio,0.5451805429241292,0.7072168536501916,-0.645283804978879,0.24768418864838493,1.3368205412720728e-36,-16.696394614847673,7.437617191778896e-61,0.645283804978879,0.010992193694812592,0.04296676280165148
cmt_ratio,0.14322213560657165,0.08158332859735742,0.4620527740380337,0.29373359788034387,1.5354275066055324e-51,11.955383648885034,1.7784139459643457e-32,0.4620527740380337,0.00940240894619762,0.03266161475886176
month,3.892193308550186,4.21455841180962,-0.204776815438854,0.18431527645446452,2.2939090567098888e-20,-5.298497329413776,1.2205729328392218e-07,0.204776815438854,0.013947308894566367,0.026579750463295925
hour,13.337050805452293,10.496564011198778,0.4566105209657759,0.18342367607435953,3.581066592036298e-20,11.814568073147012,9.135459284668919e-32,0.4566105209657759,0.003967772108803135,0.02568783509902694
share_ratio,0.16035180152793355,0.096860390634974,0.4017837392327733,0.10379054739595604,9.798708700759631e-07,10.395952617860392,4.803275429315681e-25,0.4017837392327733,0.0058561983048731,0.025530249617752635
cmt_to_like,0.31493232597085197,0.18250807917246126,0.13154411368910596,0.31888984871809184,7.50681213403534e-61,3.403637924601427,0.00067046853139952,0.13154411368910596,0.012133851616817654,0.02100302981612023
num_like,799.6468401486989,2759.263425808094,-0.24124946887870743,0.12754994712529052,5.906364973160676e-10,-6.242208932469828,4.691451486437209e-10,0.24124946887870743,0.007375565559999933,0.020105892849612114
url_density,0.0004586905546440437,0.001977813097671512,-0.2420284384290647,0.12485811506154944,1.4778807444478797e-09,-6.262364478420109,4.1276389518139555e-10,0.2420284384290647,0.0028630586624086365,0.014556465255046497
hashtag_density,0.00010253366936194684,0.0011177476054633597,-0.27260967266104835,0.0989998117136799,3.628844876293266e-06,-7.053638656143258,1.9949123102752757e-12,0.27260967266104835,0.001352574284233873,0.014078562632363619
num_url,0.19083023543990088,0.43446169508780863,-0.23012533981389147,0.11792999848929402,1.4298615972481156e-08,-5.954377676295806,2.7992006771353136e-09,0.23012533981389147,0.0024808063507456026,0.013541746600810943
num_hashtag,0.09045848822800495,0.5645202341562738,-0.22502615953188754,0.08869074145386685,4.918353668836204e-05,-5.822438945315175,6.182362539787371e-09,0.22502615953188754,0.0021801670932701227,0.012937634487765508
day,15.101610904584883,15.811147874777298,-0.08228568280555582,0.07000466458069393,0.00266780839327144,-2.1291007462794203,0.03329739513174186,0.08228568280555582,0.005264426697905098,0.010259726967312883
num_char,848.1759603469641,755.2311020615933,0.0628482404477004,0.1213538448728878,4.7361714822012994e-09,1.6261666802255654,0.10398076120588469,0.0628482404477004,0.004613831872850435,0.008570060795590202
num_cmt,170.26022304832713,200.85085263425808,-0.03489123508275143,0.19326691903972085,2.3207887257220547e-22,-0.902793197061834,0.3666815949888368,0.03489123508275143,0.004221613855655808,0.0068125072086586075
share_to_like,0.6579617128078606,0.38388431074160034,0.05863183949352493,0.1239538991826103,2.0025616056346003e-09,1.5170694216344685,0.12931592844212106,0.05863183949352493,0.003211903429187321,0.006643114824074217
num_share,719.1908302354399,665.5815729193179,0.02264756868403483,0.09730618099519255,5.680562886217426e-06,0.5859944736677831,0.5579071646719753,0.02264756868403483,0.0038266810195289763,0.005766597734324717
weekday,3.806691449814126,3.894375159073556,-0.042669315576050464,0.02851386585246237,0.6354181931205947,-1.1040471263299108,0.26962880945035966,0.042669315576050464,0.0024616836611493498,0.004988267748262446
emoji_density,0.000982611180830163,0.0006893481967556785,0.07788474130596268,0.031800834073705424,0.49591667571894793,2.0152286471535383,0.04393711360099109,0.07788474130596268,0.0010485691387315328,0.004841743879736353
num_emoji,0.8773234200743495,0.6324764571137694,0.06492574695583492,0.03398899234649225,0.41119940560599355,1.6799211185392997,0.09303864582159253,0.06492574695583492,0.0008472807957506113,0.004002947608152393
pixel,108564.69888475837,117280.31025706287,-0.03419224583165167,0.05319198928439529,0.04340754608878046,-0.8847072009880613,0.37635950204208835,0.03419224583165167,0.001689049001777323,0.003646289670630447
num_image,0.4114002478314746,0.38737592262662257,0.022953886524340588,0.02529785981216153,0.7734034694475685,0.5939202941120829,0.5525938028176915,0.022953886524340588,0.001691932142394055,0.003138478887185897
