feature,correct_mean,error_mean,mean_diff,t_stat,p_value,significant
feat_num_sentences,5.919916142557652,7.096554657592514,-1.1766385150348624,-3.3269895936130305,0.0008845922004555512,True
feat_num_urls,0.36058700209643607,0.42747766907698853,-0.06689066698055246,-2.165193138843995,0.030422694157778922,True
feat_num_exclamation,0.2641509433962264,0.3207145895363675,-0.05656364614014109,-1.8542023578409392,0.06377236651925858,False
feat_num_question,0.25366876310272535,0.3058273075287112,-0.05215854442598583,-1.5948604019557717,0.11081020958927443,False
feat_like_ratio,0.7415947107776332,0.7307829746205949,0.010811736157038232,1.3441146558060386,0.17897572221961403,False
feat_fake_ratio,0.016108322368266148,0.01261567785967232,0.003492644508593828,1.123001398228507,0.26149384911707374,False
feat_hour_sin,0.05393018814930279,0.036460382069293605,0.017469806080009184,0.888068783319226,0.3745488712014712,False
feat_digit_ratio,0.02175789226166117,0.021099037052904203,0.0006588552087569664,0.8602864794468579,0.3896747090340281,False
feat_avg_word_length,4.450446200238512,4.463295041068604,-0.012848840830091746,-0.5975168288737042,0.5501909536811498,False
feat_hour_cos,-0.16732276296945967,-0.16334038793367492,-0.0039823750357847465,-0.19135426658873728,0.8482562541597531,False
feat_comment_ratio,0.09759865190173558,0.0970714920503199,0.0005271598514156872,0.12285035403897847,0.9022308143508716,False
