auc,f1,precision,recall,threshold,fold,best_iteration
0.9771306505827286,0.8700564971751412,0.8020833333333334,0.9506172839506173,0.3751690253422652,1,96
0.9784500361260327,0.8974358974358975,0.9333333333333333,0.8641975308641975,0.5847979134550536,2,87
0.9900103666006974,0.9125,0.9240506329113924,0.9012345679012346,0.3565776656906185,3,113
0.9837275782992492,0.8795180722891566,0.8588235294117647,0.9012345679012346,0.7735738328927849,4,77
0.9836019225332202,0.8789808917197452,0.9078947368421053,0.8518518518518519,0.8556478445763114,5,73
0.9759683347469607,0.8860759493670886,0.9090909090909091,0.8641975308641975,0.7552591500987196,6,88
0.9758587786259542,0.9078947368421053,0.9583333333333334,0.8625,0.8661191942667344,7,87
0.9810114503816795,0.8679245283018868,0.8734177215189873,0.8625,0.5915610286786283,8,92
0.9726781170483462,0.8780487804878049,0.8571428571428571,0.9,0.449777490458702,9,76
0.971434870244394,0.8588957055214724,0.8536585365853658,0.8641975308641975,0.368370581415243,10,66
