Model,Baseline,Time Feature,AUC,F1,Precision,Recall
LightGBM,2,hour_sin_cos,0.9792 ± 0.0053,0.8851 ± 0.0164,0.8909 ± 0.0399,0.8811 ± 0.0266
LightGBM,2,is_evening,0.9790 ± 0.0057,0.8837 ± 0.0174,0.8878 ± 0.0468,0.8823 ± 0.0305
Logistic Regression,2,is_evening,0.9765 ± 0.0072,0.8835 ± 0.0205,0.8711 ± 0.0499,0.8997 ± 0.0400
Logistic Regression,2,hour_sin_cos,0.9770 ± 0.0068,0.8776 ± 0.0199,0.8738 ± 0.0535,0.8848 ± 0.0339
Attention + LightGBM,2,is_evening,0.9517 ± 0.0162,0.8629 ± 0.0201,0.8570 ± 0.0473,0.8724 ± 0.0430
Attention + LogReg,2,hour_sin_cos,0.9574 ± 0.0137,0.8598 ± 0.0252,0.8899 ± 0.0327,0.8328 ± 0.0366
Attention + LightGBM,2,hour_sin_cos,0.9577 ± 0.0194,0.8561 ± 0.0312,0.8519 ± 0.0524,0.8625 ± 0.0343
Attention + LogReg,2,is_evening,0.9611 ± 0.0147,0.8506 ± 0.0295,0.8676 ± 0.0424,0.8366 ± 0.0453
LightGBM,1,hour_sin_cos,0.9440 ± 0.0086,0.7562 ± 0.0304,0.7462 ± 0.0861,0.7807 ± 0.0745
LightGBM,1,is_evening,0.9437 ± 0.0098,0.7522 ± 0.0259,0.7450 ± 0.0692,0.7706 ± 0.0754
Logistic Regression,1,hour_sin_cos,0.9385 ± 0.0072,0.7383 ± 0.0236,0.7327 ± 0.0865,0.7620 ± 0.0895
Logistic Regression,1,is_evening,0.9377 ± 0.0078,0.7358 ± 0.0181,0.7204 ± 0.0733,0.7632 ± 0.0634
Attention + LogReg,1,is_evening,0.9027 ± 0.0214,0.6895 ± 0.0371,0.7024 ± 0.0338,0.6791 ± 0.0558
Attention + LightGBM,1,is_evening,0.8360 ± 0.0438,0.6875 ± 0.0339,0.6416 ± 0.0439,0.7436 ± 0.0496
Attention + LogReg,1,hour_sin_cos,0.9073 ± 0.0220,0.6850 ± 0.0396,0.6418 ± 0.0844,0.7510 ± 0.0854
Attention + LightGBM,1,hour_sin_cos,0.8235 ± 0.0404,0.6705 ± 0.0393,0.6476 ± 0.0557,0.7015 ± 0.0702
